=== Aim Trainer v1.0 CSV Results Dump - Made by CafeFPS @CafeFPS === 

ChallengeName, ShotsHit, Kills, Weapon, Accuracy, Damage, CriticalShots, TotalShots, Roundtime 
STRAFING DUMMY, 496, 0, R-99, 46.35%, 6367, 16, 1070, 60
STRAFING DUMMY, 504, 0, R-99, 47.05%, 6630, 41, 1071, 60
STRAFING DUMMY, 504, 0, R-99, 47.05%, 6630, 41, 1071, 60
STRAFING DUMMY, 486, 0, R-99, 45.33%, 6318, 25, 1072, 60
STRAFING DUMMY, 486, 0, R-99, 45.33%, 6318, 25, 1072, 60
STRAFING DUMMY, 465, 0, R-99, 43.41%, 6045, 24, 1071, 60
STRAFING DUMMY, 523, 0, R-99, 48.69%, 6868, 34, 1074, 60
STRAFING DUMMY, 523, 0, R-99, 48.69%, 6868, 34, 1074, 60
STRAFING DUMMY, 478, 0, R-99, 44.54%, 6271, 28, 1073, 60
STRAFING DUMMY, 478, 0, R-99, 44.54%, 6271, 28, 1073, 60
STRAFING DUMMY, 486, 0, R-99, 45.29%, 6321, 21, 1073, 60
STRAFING DUMMY, 486, 0, R-99, 45.29%, 6321, 21, 1073, 60
STRAFING DUMMY, 479, 0, R-99, 44.72%, 6224, 27, 1071, 60
STRAFING DUMMY, 479, 0, R-99, 44.72%, 6224, 27, 1071, 60
STRAFING DUMMY, 486, 0, R-99, 45.25%, 6378, 37, 1074, 60
STRAFING DUMMY, 538, 0, R-99, 50.09%, 7030, 36, 1074, 60
STRAFING DUMMY, 538, 0, R-99, 50.09%, 7030, 36, 1074, 60
STRAFING DUMMY, 543, 0, R-99, 50.51%, 7119, 45, 1075, 60
STRAFING DUMMY, 543, 0, R-99, 50.51%, 7119, 45, 1075, 60
STRAFING DUMMY, 488, 0, R-99, 45.39%, 6413, 47, 1075, 60
STRAFING DUMMY, 488, 0, R-99, 45.39%, 6413, 47, 1075, 60
STRAFING DUMMY, 483, 0, R-99, 44.97%, 6285, 29, 1074, 60
STRAFING DUMMY, 483, 0, R-99, 44.97%, 6285, 29, 1074, 60
STRAFING DUMMY, 494, 0, R-99, 45.95%, 6452, 26, 1075, 60
STRAFING DUMMY, 491, 0, R-99, 45.67%, 6506, 55, 1075, 60
STRAFING DUMMY, 491, 0, R-99, 45.67%, 6506, 55, 1075, 60
STRAFING DUMMY, 507, 0, R-99, 47.11%, 6603, 36, 1076, 60
STRAFING DUMMY, 507, 0, R-99, 47.11%, 6603, 36, 1076, 60
STRAFING DUMMY, 509, 0, R-99, 47.43%, 6671, 30, 1073, 60
STRAFING DUMMY, 509, 0, R-99, 47.43%, 6671, 30, 1073, 60
STRAFING DUMMY, 438, 0, R-99, 40.74%, 5688, 34, 1075, 60
STRAFING DUMMY, 514, 0, R-99, 47.72%, 6784, 44, 1077, 60
STRAFING DUMMY, 514, 0, R-99, 47.72%, 6784, 44, 1077, 60
STRAFING DUMMY, 493, 0, R-99, 45.86%, 6427, 26, 1075, 60
STRAFING DUMMY, 493, 0, R-99, 45.86%, 6427, 26, 1075, 60
STRAFING DUMMY, 477, 0, R-99, 44.41%, 6276, 38, 1074, 60
STRAFING DUMMY, 477, 0, R-99, 44.41%, 6276, 38, 1074, 60
STRAFING DUMMY, 493, 0, R-99, 45.86%, 6343, 19, 1075, 60
STRAFING DUMMY, 493, 0, R-99, 45.86%, 6343, 19, 1075, 60
STRAFING DUMMY, 566, 0, R-99, 52.79%, 7370, 26, 1072, 60
STRAFING DUMMY, 485, 0, R-99, 45.07%, 6302, 24, 1076, 60
STRAFING DUMMY, 485, 0, R-99, 45.07%, 6302, 24, 1076, 60
STRAFING DUMMY, 290, 0, R-99, 26.92%, 3749, 17, 1077, 60
STRAFING DUMMY, 290, 0, R-99, 26.92%, 3749, 17, 1077, 60
STRAFING DUMMY, 502, 0, R-99, 46.69%, 6550, 25, 1075, 60
STRAFING DUMMY, 502, 0, R-99, 46.69%, 6550, 25, 1075, 60
STRAFING DUMMY, 672, 0, R-99, 62.51%, 8856, 68, 1075, 60
STRAFING DUMMY, 672, 0, R-99, 62.51%, 8856, 68, 1075, 60
STRAFING DUMMY, 431, 0, R-99, 40.09%, 5693, 43, 1075, 60
STRAFING DUMMY, 431, 0, R-99, 40.09%, 5693, 43, 1075, 60
STRAFING DUMMY, 419, 0, R-99, 39.01%, 5585, 51, 1074, 60
STRAFING DUMMY, 419, 0, R-99, 39.01%, 5585, 51, 1074, 60
STRAFING DUMMY, 523, 0, R-99, 49.01%, 6814, 27, 1067, 60
STRAFING DUMMY, 523, 0, R-99, 49.01%, 6814, 27, 1067, 60
STRAFING DUMMY, 15, 0, Wingman, 21.12%, 720, 0, 71, 60
