=== Aim Trainer v1.0 CSV Results Dump - Made by CafeFPS @CafeFPS === 

ChallengeName, ShotsHit, Kills, Weapon, Accuracy, Damage, CriticalShots, TotalShots, Roundtime 
STRAFING DUMMY, 486, 0, R-99, 44.14%, 6477, 66, 1101, 60
STRAFING DUMMY, 549, 0, R-99, 48.37%, 7296, 73, 1135, 60
STRAFING DUMMY, 549, 0, R-99, 48.37%, 7296, 73, 1135, 60
STRAFING DUMMY, 455, 0, R-99, 41.51%, 5969, 50, 1096, 60
STRAFING DUMMY, 455, 0, R-99, 41.51%, 5969, 50, 1096, 60
STRAFING DUMMY, 491, 0, R-99, 43.87%, 6470, 47, 1119, 60
STRAFING DUMMY, 491, 0, R-99, 43.87%, 6470, 47, 1119, 60
STRAFING DUMMY, 495, 0, R-99, 44.43%, 6462, 41, 1114, 60
STRAFING DUMMY, 495, 0, R-99, 44.43%, 6462, 41, 1114, 60
STRAFING DUMMY, 474, 0, R-99, 43.97%, 6243, 43, 1078, 60
STRAFING DUMMY, 475, 0, R-99, 44.22%, 6253, 41, 1074, 60
STRAFING DUMMY, 475, 0, R-99, 44.22%, 6253, 41, 1074, 60
STRAFING DUMMY, 420, 0, R-99, 39.03%, 5466, 26, 1076, 60
STRAFING DUMMY, 420, 0, R-99, 39.03%, 5466, 26, 1076, 60
STRAFING DUMMY, 498, 0, R-99, 46.36%, 6531, 44, 1074, 60
STRAFING DUMMY, 498, 0, R-99, 46.36%, 6531, 44, 1074, 60
STRAFING DUMMY, 505, 0, R-99, 47.19%, 6598, 31, 1070, 60
STRAFING DUMMY, 481, 0, R-99, 44.91%, 6334, 39, 1071, 60
STRAFING DUMMY, 481, 0, R-99, 44.91%, 6334, 39, 1071, 60
STRAFING DUMMY, 447, 0, R-99, 43.35%, 5934, 45, 1031, 60
STRAFING DUMMY, 447, 0, R-99, 43.35%, 5934, 45, 1031, 60
STRAFING DUMMY, 446, 0, R-99, 41.52%, 5846, 30, 1074, 60
STRAFING DUMMY, 446, 0, R-99, 41.52%, 5846, 30, 1074, 60
STRAFING DUMMY, 482, 0, R-99, 45.00%, 6293, 22, 1071, 60
STRAFING DUMMY, 482, 0, R-99, 45.00%, 6293, 22, 1071, 60
STRAFING DUMMY, 506, 0, R-99, 47.20%, 6605, 29, 1072, 60
STRAFING DUMMY, 506, 0, R-99, 47.20%, 6605, 29, 1072, 60
STRAFING DUMMY, 490, 0, R-99, 45.49%, 6406, 32, 1077, 60
STRAFING DUMMY, 486, 0, R-99, 45.42%, 6318, 25, 1070, 60
STRAFING DUMMY, 486, 0, R-99, 45.42%, 6318, 25, 1070, 60
STRAFING DUMMY, 527, 0, R-99, 49.29%, 6938, 45, 1069, 60
STRAFING DUMMY, 527, 0, R-99, 49.29%, 6938, 45, 1069, 60
STRAFING DUMMY, 515, 0, R-99, 47.99%, 6740, 33, 1073, 60
STRAFING DUMMY, 515, 0, R-99, 47.99%, 6740, 33, 1073, 60
STRAFING DUMMY, 534, 0, R-99, 49.95%, 6951, 35, 1069, 60
STRAFING DUMMY, 486, 0, R-99, 45.29%, 6375, 38, 1073, 60
STRAFING DUMMY, 489, 0, R-99, 45.78%, 6357, 39, 1068, 60
STRAFING DUMMY, 489, 0, R-99, 45.78%, 6357, 39, 1068, 60
STRAFING DUMMY, 461, 0, R-99, 43.36%, 6104, 41, 1063, 60
STRAFING DUMMY, 461, 0, R-99, 43.36%, 6104, 41, 1063, 60
STRAFING DUMMY, 485, 0, R-99, 45.03%, 6377, 31, 1077, 60
STRAFING DUMMY, 485, 0, R-99, 45.03%, 6377, 31, 1077, 60
STRAFING DUMMY, 409, 0, R-99, 38.26%, 5407, 38, 1069, 60
STRAFING DUMMY, 409, 0, R-99, 38.26%, 5407, 38, 1069, 60
STRAFING DUMMY, 456, 0, R-99, 42.45%, 5913, 21, 1074, 60
STRAFING DUMMY, 456, 0, R-99, 42.45%, 5913, 21, 1074, 60
STRAFING DUMMY, 403, 0, R-99, 36.83%, 5182, 24, 1094, 60
STRAFING DUMMY, 403, 0, R-99, 36.83%, 5182, 24, 1094, 60
STRAFING DUMMY, 477, 0, R-99, 44.53%, 6252, 39, 1071, 60
STRAFING DUMMY, 477, 0, R-99, 44.53%, 6252, 39, 1071, 60
STRAFING DUMMY, 446, 0, R-99, 42.15%, 5852, 30, 1058, 60
STRAFING DUMMY, 446, 0, R-99, 42.15%, 5852, 30, 1058, 60
STRAFING DUMMY, 476, 0, R-99, 44.36%, 6161, 17, 1073, 60
STRAFING DUMMY, 459, 0, R-99, 42.89%, 5826, 20, 1070, 60
STRAFING DUMMY, 459, 0, R-99, 42.89%, 5826, 20, 1070, 60
STRAFING DUMMY, 457, 0, R-99, 42.51%, 6022, 43, 1075, 60
STRAFING DUMMY, 457, 0, R-99, 42.51%, 6022, 43, 1075, 60
STRAFING DUMMY, 474, 0, R-99, 44.17%, 6174, 29, 1073, 60
STRAFING DUMMY, 474, 0, R-99, 44.17%, 6174, 29, 1073, 60
STRAFING DUMMY, 0, 0, Wingman, -na,n(i,nd).-n%, 0, 0, 0, 60
